codigo_ibge,nome,uf,entidade_id
3100203,Abaeté,MG,1913769
3101201,Aiuruoca,MG,2132421
3101805,Alpercata,MG,830489
3102001,Alterosa,MG,749988
3102209,Alvarenga,MG,740820
3103108,Antônio Prado de Minas,MG,2883750
3103801,Arapuá,MG,2948680
3104601,Astolfo Dutra,MG,144962
3105301,Bandeira do Sul,MG,153939
3106002,Bela Vista de Minas,MG,1293935
3106903,Bicas,MG,2189450
3107000,Biquinhas,MG,2176216
3107307,Bocaiúva,MG,2192382
3107406,Bom Despacho,MG,2231221
3107604,Bom Jesus da Penha,MG,2806657
3108107,Bonfim,MG,2188244
3108305,Borda da Mata,MG,159022
3108404,Botelhos,MG,2391373
3108909,Brazópolis,MG,121889
3110103,Caiana,MG,2849842
3110301,Caldas,MG,90669
3110400,Camacho,MG,3671144
3110608,Cambuí,MG,1176925
3110707,Cambuquira,MG,1036769
3111150,Campo Azul,MG,1068020
3111309,Campo do Meio,MG,93863
3111705,Canaã,MG,97699
3112109,Caparaó,MG,2027795
3112901,Caputira,MG,3969821
3114303,Carmo do Paranaíba,MG,95321
3114808,Carvalhos,MG,3150620
3115003,Cascalho Rico,MG,43431
3115409,Catas Altas da Noruega,MG,747297
3115458,Catuji,MG,1724955
3115607,Cedro do Abaeté,MG,2454764
3115904,Chácara,MG,27858
3116159,Chapada Gaúcha,MG,413986
3116209,Chiador,MG,789022
3116704,Coimbra,MG,841158
3117207,Conceição das Pedras,MG,1929714
3117876,Confins,MG,103104
3119005,Cordislândia,MG,876062
3119906,Córrego do Bom Jesus,MG,1521964
3122009,Divino,MG,867983
3122207,Divinolândia de Minas,MG,2955377
3123007,Dores de Campos,MG,2269422
3124005,Ervália,MG,107685
3124401,Espírito Santo do Dourado,MG,3970046
3124500,Estiva,MG,898137
3124906,Eugenópolis,MG,2506255
3125200,Fama,MG,1490708
3125309,Faria Lemos,MG,2782889
3126000,Florestal,MG,1687576
3126752,Franciscópolis,MG,929455
