codigo_ibge,nome,uf,url_prefeitura
3106002,Bela Vista de Minas,MG,https://www.belavistademinas.mg.gov.br
3127701,Governador Valadares,MG,https://www.valadares.mg.gov.br
3131307,Ipatinga,MG,https://www.ipatinga.mg.gov.br
3131703,Itabira,MG,https://www.itabira.mg.gov.br
3136603,Nova União,MG,https://www.novauniao.mg.gov.br
3139409,Manhuaçu,MG,https://www.manhuacu.mg.gov.br
3152105,Ponte Nova,MG,https://www.pontenova.mg.gov.br
3157104,Salto da Divisa,MG,https://www.saltodadivisa.mg.gov.br
3162906,São João Nepomuceno,MG,https://www.sjnepomuceno.mg.gov.br
3167202,Sete Lagoas,MG,https://www.setelagoas.mg.gov.br
3169356,Três Marias,MG,https://www.tresmarias.mg.gov.br
3169406,Três Pontas,MG,https://www.trespontas.mg.gov.br
