codigo_ibge,nome,uf,url_prefeitura
3100807,Aguanil,MG,https://www.aguanil.mg.gov.br/
3102100,Alto Rio Doce,MG,https://www.altoriodoce.mg.gov.br/
3103900,Araújos,MG,https://www.araujos.mg.gov.br/
3105608,Barbacena,MG,https://www1.barbacena.mg.gov.br/
3106705,Betim,MG,https://www.betim.mg.gov.br/
3109303,Buritis,MG,https://www.buritis.mg.gov.br/
3111200,Campo Belo,MG,https://www.campobelo.mg.gov.br/
3111309,Campo do Meio,MG,https://www.campodomeio.mg.gov.br/
3111606,Campos Gerais,MG,https://www.camposgerais.mg.gov.br/
3112000,Candeias,MG,https://www.candeias.mg.gov.br/
3112406,Capetinga,MG,https://www.capetinga.mg.gov.br/
3112653,Capitão Andrade,MG,https://www.capitaoandrade.mg.gov.br/
3112802,Capitólio,MG,https://www.capitolio.mg.gov.br/
3113909,Carmo da Cachoeira,MG,https://www.carmodacachoeira.mg.gov.br/
3114105,Carmo de Minas,MG,https://www.carmodeminas.mg.gov.br/
3114204,Carmo do Cajuru,MG,https://www.carmodocajuru.mg.gov.br/
3114402,Carmo do Rio Claro,MG,https://www.carmodorioclaro.mg.gov.br/
3115102,Cássia,MG,https://www.cassia.mg.gov.br/
3115300,Cataguases,MG,https://www.cataguases.mg.gov.br/
3115474,Catuti,MG,https://www.catuti.mg.gov.br/
3116605,Cláudio,MG,https://www.claudio.mg.gov.br/
3117876,Confins,MG,https://www.confins.mg.gov.br/
3118106,Congonhas do Norte,MG,https://www.congonhasdonorte.mg.gov.br/
3118601,Contagem,MG,https://portal.contagem.mg.gov.br/
3118700,Coqueiral,MG,https://www.coqueiral.mg.gov.br/
3120151,Crisólita,MG,https://www.crisolita.mg.gov.br/
3120201,Cristais,MG,https://www.cristais.mg.gov.br/
3121100,Delfim Moreira,MG,https://www.delfimmoreira.mg.gov.br/
3121605,Diamantina,MG,https://www.diamantina.mg.gov.br/
3122306,Divinópolis,MG,https://www.divinopolis.mg.gov.br/
3123403,Doresópolis,MG,https://www.doresopolis.mg.gov.br/
3124104,Esmeraldas,MG,https://www.esmeraldas.mg.gov.br/
3128006,Guanhães,MG,https://www.guanhaes.mg.gov.br/
3128253,Guaraciama,MG,https://www.guaraciama.mg.gov.br/
3129707,Ibiraci,MG,https://www.ibiraci.mg.gov.br/
3132107,Itacarambi,MG,https://www.itacarambi.mg.gov.br/
3132206,Itaguara,MG,https://www.itaguara.mg.gov.br/
3132800,Itambé do Mato Dentro,MG,https://www.itambedomatodentro.mg.gov.br/
3133808,Itaúna,MG,https://www.itauna.mg.gov.br/
3135209,Januária,MG,https://www.januaria.mg.gov.br/
3136009,Joaíma,MG,https://www.joaima.mg.gov.br/
3136306,João Pinheiro,MG,https://www.joaopinheiro.mg.gov.br/
3136579,Josenópolis,MG,https://www.josenopolis.mg.gov.br/
3136652,Juatuba,MG,https://www.juatuba.mg.gov.br/
3136900,Juruaia,MG,https://www.juruaia.mg.gov.br/
3137205,Lagoa da Prata,MG,https://www.lagoadaprata.mg.gov.br/
3141009,Mato Verde,MG,https://www.matoverde.mg.gov.br/
3141801,Minas Novas,MG,https://www.minasnovas.mg.gov.br/
3143005,Monte Belo,MG,https://www.montebelo.mg.gov.br/
3145109,Nova Resende,MG,https://www.novaresende.mg.gov.br/
3145059,Nova Porteirinha,MG,https://www.novaporteirinha.mg.gov.br/
3145208,Nova Serrana,MG,https://www.novaserrana.mg.gov.br/
3146255,Padre Carvalho,MG,https://padrecarvalho.mg.gov.br/
3147006,Paracatu,MG,https://www.paracatu.mg.gov.br/
3147907,Passos,MG,https://www.passos.mg.gov.br/
3148004,Patos de Minas,MG,https://www.patosdeminas.mg.gov.br/
3150901,Piranguçu,MG,https://www.pirangucu.mg.gov.br/
3151008,Piranguinho,MG,https://www.piranguinho.mg.gov.br/
3151404,Pitangui,MG,https://pitangui.mg.gov.br/
3156205,Rochedo de Minas,MG,https://www.rochedodeminas.mg.gov.br/
3157005,Salinas,MG,https://www.salinas.mg.gov.br/
3160207,Santo Antônio do Itambé,MG,https://www.santoantoniodoitambe.mg.gov.br/
