codigo_ibge,nome,uf,url_prefeitura
3507803,Brodowski,SP,https://brodowski.sp.gov.br
3118304,Conselheiro Lafaiete,MG,https://conselheirolafaiete.mg.gov.br/v2
3513504,Cubatão,SP,https://cubatao.sp.gov.br
3124500,Estiva,MG,https://estiva.mg.gov.br
3515707,Ferraz de Vasconcelos,SP,https://ferrazdevasconcelos.sp.gov.br/web
3129657,Ibiracatu,MG,https://ibiracatu.mg.gov.br
3522505,Itapevi,SP,https://itapevi.sp.gov.br
3140209,Maripá de Minas,MG,https://maripademinas.mg.gov.br
3152808,Prata,MG,https://prata.mg.gov.br
3165206,São Tomé das Letras,MG,https://saotomedasletras.mg.gov.br
3552502,Suzano,SP,https://suzano.sp.gov.br
